,书籍名称,频率
495,发现商业模式,1
496,从优秀到卓越,2
497,新教伦理与资本主义精神,2
498,落脚城市,1
499,文字小讲,1
500,说文解字,3
501,技术的本质,1
502,晚学盲言,2
503,知道分子,1
504,生育制度,2
505,胡适传论,1
506,张居正大传,2
507,曾国藩,4
508,王阳明大传,2
509,蒋经国传,2
510,乔布斯传,3
511,毛泽东传,3
512,拿破仑传,4
513,民国政治人物,1
514,李鸿章传,4
515,蒋介石与现代中国,1
516,王安石传,1
517,武则天传,4
518,刘邦别传,1
519,民国三大校长,1
520,胡适杂忆,1
521,富兰克林自传,5
522,独立宣言,2
523,柳叶刀,1
524,自我驱动心理学,5
525,原生家庭生存指南,2
526,原生家庭生存指南——如何摆脱非正常家庭环境的影响,1
527,泰晤士报,1
528,天生非此：家是如何影响我们一生的,1
529,青少年的暴力倾向：在这个只有赢家和输家的现代文化背景下,1
530,原生家庭生存指南：如何摆脱非正常家庭环境的影响,1
531,卫报,1
532,金融时报,1
533,康熙来了,1
534,被驯服的象,1
535,射雕英雄传,4
536,哈利·波特,3
537,梦里花落知多少,2
538,橄榄树,2
539,增广贤文,13
540,增广昔时贤文,1
541,金瓶梅,38
542,飘,46
543,热锅上的家庭：家庭问题背后的心理真相,3
544,拆掉思维里的墙,5
545,圣经,21
546,双城记,3
547,戏剧的技巧,1
548,想象,1
549,人的大地,2
550,银河铁道之夜,2
551,你今天真好看,4
552,我可以咬一口吗,2
553,解忧杂货店,36
554,我的生活不可能这么坏,2
555,人间失格,51
556,北野武的小酒馆,5
557,纸上动物园,2
558,哈利波特与死亡圣器,2
559,漫长的告别,2
560,岛上书店,10
561,浮生物语,3
562,阿朱,1
563,明史不忍细看,1
564,帝国首辅张居正,1
565,细说明朝,1
566,经济学原理,14
567,附录和补遗,1
568,苏菲的世界(精),1
569,故事,5
570,对白,1
571,哥德尔、艾舍尔、巴赫书：集异璧之大成,1
572,儿童非言语行为,1
573,非言语行为理论与研究应用,1
574,非言语行为基本原理,1
575,易传,1
576,歇斯底里症研究,1
577,旧约创世纪,1
578,拉丁教父集,1
579,教会拉丁作家丛书,1
580,法兰西大学丛书,1
581,汉摩拉比法典,1
582,乌合之众：群体心理研究,2
583,宇宙之王,1
584,暮光之城,2
585,Fifty Shades Darker,1
586,Fifty Shades Freed,1
587,白雪公主与猎人,1
588,谍影重重,1
589,身份窃贼,1
590,复活,7
591,我们时代的神经症人格,5
592,心灵鸡汤,2
593,吸引力法则,1
594,渴望生活——梵高传,1
595,不抱怨的世界,2
596,1619年的辽东战役,1
597,建筑绘,1
598,夏摩山谷,2
599,这些都是你给我的爱,1
600,麦田里的守望者,14
601,唐璜,3
602,演员的自我修养,1
603,“体验创作”过程中的自我修养,1
604,我怎么没想到,1
605,钻石时代,1
606,理解人性,2
607,正面管教,6
608,最高休息法,1
609,秦时明月,1
610,绿山墙的安妮,10
611,少女安妮,1
612,女大学生安妮,1
613,梦中小屋的安妮,1
614,壁炉山庄的安妮,1
615,彩虹幽谷,1
616,壁炉山庄的丽拉,1
617,红发安妮,1
618,Anne,2
619,论语,38
620,四书章句集注,3
621,论语译注,2
622,论语新解,2
623,四书释义,1
624,论语新劄,1
625,唐宋名家词选,3
626,资治通鉴,32
627,进资治通鉴表,1
628,资治通鉴：传世经典 文白对照,1
629,白话资治通鉴,2
630,文白对照全译资治通鉴,1
631,历朝通俗演义,1
632,简单的逻辑学,2
633,文法俱乐部,1
634,昭奚旧草,3
635,了凡四训,13
636,读心专家,1
637,周易,13
638,论持久战,6
639,星星之火，可以燎原,1
640,湖南农民运动考察报告,2
641,必须注意经济工作,1
642,沸腾十五年,6
643,浪潮之巅,11
644,电脑报,1
645,知识经济,1
646,腾讯传,2
647,阿里传,1
648,硅谷之谜,2
649,你要如何衡量你的人生,1
650,你要如何衡量自己的人生,1
651,创新者的窘境,1
652,论导师的权力,1
653,论六字真言的威力,1
654,论王攀老师的独特语言系统,1
655,生命不能承受之轻,3
656,千古名将英雄梦,1
657,恶之花,2
658,反溺爱,2
659,你的钱,1
660,中华的智慧,1
661,书,2
662,中国哲学思潮发展史,1
663,字典,1
664,怎样查字典,1
665,投资最重要的事,2
666,提问的艺术,1
667,微革命,1
668,创业维艰,2
669,卓有成效的管理者,4
670,人生,39
671,废都,2
672,丰乳肥臀,10
673,明朝那些事,13
674,我们仨,32
675,点个赞,1
676,规模,3
677,OpenStack王者归来,1
678,上帝掷骰子吗？量子物理史话,2
679,上帝掷骰子吗？,2
680,哲学纲要,1
681,摆渡人,11
682,我怀疑人们在密谋让我幸福,1
683,The 4-hour Workweek,1
684,抵抗孤独的一百种办法,1
685,非诚勿扰,1
686,父母效能训练手册,1
687,父母能效训练手册,1
688,无条件养育,2
689,建筑家安藤忠雄,1
690,再会，老北京,1
691,东北游记,1
692,本地·回坊,1
693,本地·市井生活,1
694,本地,1
695,黑暗之城：九龙城寨的日与夜</b>,1
696,大図解九龍城,1
697,城市造反：全球非典型都市规划术,1
698,走来走去,1
699,水浒,2
700,房中术,1
701,槽边往事,1
702,好战略，坏战略,1
703,形式逻辑,2
704,女士品茶,1
705,深入浅出统计学,1
706,许三观卖血记,42
707,龙族,15
708,纯粹理性批判,8
709,实践理性批判,1
710,判断力批判,1
711,作为意志和表象的世界,4
712,小逻辑,1
713,尼采自述,1
714,存在与时间,2
715,马克思恩格斯全集,2
716,逃避自由,5
717,人性的弱点,44
718,面包与自由,1
719,告青年,1
720,The 15 Commitments of Conscious Leadership,1
721,意识领袖的15项承诺,1
722,现在，发现你的优势,3
723,致加西亚的一封信,1
724,麦肯锡意识,2
725,权力之路：林登·约翰逊传,1
726,</b>The Crowd a study of popular mind,1
727,三剑客,2
728,python 编程从入门到实践,1
729,探索心理学,1
730,改变心理学的40项研究,3
731,为何家会伤人,5
732,发展心理学,1
733,个人形成论,2
734,给心理治疗师的礼物,1
735,经济学的思维方式,1
736,策略思维,2
737,摩根财团,2
738,大而不倒,1
739,大败局,6
740,货币、银行和金融市场经济学,1
741,漫步华尔街,2
742,伟大的博弈,5
743,滑动解锁：解密技术基因 揭秘数字世界,1
744,十问：霍金沉思录,1
745,岁月凶猛,3
746,野蛮生长,2
747,理想丰满,2
748,改变未来的九大算法,1
749,让你在公司显得很能干的52种方法,2
750,平面国：一个多维的传奇故事,1
751,5G时代,1
752,红白机视觉进化史,1
753,迷人的液体,1
754,迷人的材料,1
755,老科技的全球史,1
756,暗网,1
757,一个观点，不一定对,1
758,银河界区三部曲,1
759,大历史,1
760,黑色皮革手册,1
761,一想到还有95%的问题留给人类，我就放心了,1
762,直觉泵和其他思考工具,1
763,格局,3
764,进击的智人,1
765,后真相时代,1
766,黑箱：日本之耻,2
767,坏血：一个硅谷巨头的秘密与谎言,1
768,我们脑中那些挥之不去的问题,1
769,地下,2
770,智能战略,1
771,呼吸,2
772,十二个明天,1
773,降临,1
774,你一生的故事,1
775,黑镜,1
776,全球科技通史,1
777,病毒星球,2
778,从一到无穷大,4
779,时间不存在,1
780,未来人不存在,1
781,绝对笑喷之弃业医日记,1
782,冰与火之歌：权力的游戏,1
783,冰与火之歌,6
784,猎魔人,2
785,巫师,1
786,暗趋势：藏在科技浪潮中的商业机会,1
787,听什么歌都像在唱自己,1
788,跨界学习：终身学习者的认知方法论,1
789,弹性：在极速变化的世界中灵活思考,1
790,灰犀牛,1
791,反脆弱,6
792,第五次开始,1
793,塔希里亚故事集,3
794,契约,1
795,反常识,1
796,大加速,1
797,你有你的计划，世界另有计划,1
798,智识分子,1
799,高手,1
800,行为设计学：打造峰值体验,1
801,云球,2
802,黑暗森林,1
803,AI的25种可能,1
804,那些让你更聪明的科学新概念,1
805,哪些科学观点必须去死,1
806,如何思考会思考的机器,1
807,心智探奇：人类心智的起源与进化,1
808,我是个怪圈,1
809,心智探奇,1
810,万历,3
811,清醒思考的艺术,2
812,中国社会各阶层分析,3
813,毛泽东文选,1
814,群氓之族,1
815,中国革命战争的战略问题,1
816,集中优势兵力，各个歼灭敌人,1
817,中国社会各阶级的分析,2
818,中国的红色政权为什么能够存在？,1
819,反对本本主义,1
820,实践论,2
821,矛盾论,3
822,二十世纪中国史纲,1
823,为什么是毛泽东,1
824,毛泽东军事战略,1
825,孙子兵法,27
826,兵以诈立,1
827,唯一的规则,1
828,六祖坛经,4
829,小窗幽记,3
830,醉古堂剑扫,1
831,与神对话,18
832,德布罗意文选,1
833,代码大全,3
834,打开一颗心,6
835,人间世,1
836,实习医生格蕾,1
837,你的生命在他们手中,1
838,金刚经,11
839,哲道行者,1
840,中国历代政治得失,8
841,杀死一直知更鸟,1
842,东方快车谋杀案,3
843,被嫌弃的松子的一生,2
844,安娜.卡列尼娜,2
845,世说新语,3
846,老人与海,13
847,儒林外史,3
848,了不起的盖茨比,19
849,悉达多,14
850,檀香刑,4
851,乡下人的悲歌,4
852,史密斯夫妇,1
853,第3选择,1
854,枕草子,6
855,山,1
856,云隐,1
857,思想录,7
858,帕斯卡尔传,1
859,随笔集,1
860,查令十字街84号,7
861,月亮和六便士,19
862,撒哈拉的故事,25
863,孤独小说家,2
864,无比美妙的痛苦,1
865,悟空传,8
866,寻找家园,3
867,在上帝的荒野中,1
868,声律启蒙,1
869,龍頭鳳尾,1
870,富爸爸穷爸爸,23
871,富爸爸现金流,1
872,变革中国,1
873,中国经营报,1
874,激荡十年：水大鱼大,1
875,吴晓波频道,1
876,尼采：在实际的转折点上,1
877,当鞋合脚时,1
878,文汇报,1
879,南方周末,1
880,夜航船,4
881,资政通鉴,1
882,宋史,8
883,诗,1
884,男人来自火星女人来自金星,2
885,高潮一直来一直来,1
886,如何让你爱的人爱上你,3
887,坏女人有人爱,1
888,他其实没那么喜欢你,1
889,像女人一样行动 像男人一样思考,1
890,爱的博弈：建立信任、避免背叛与不忠,1
891,性学三论与爱情心理学,1
892,论导师的权利,1
893,褚时健传,1
894,机构投资的创新之路,1
895,力量训练基础,1
896,故事新编,3
897,炼金术士,1
898,牧羊少年奇幻之旅,22
899,极花,3
900,明朝,1
901,莎士比亚悲剧集,2
902,灵魂的事,2
903,金刚经说什么,5
904,僧侣与哲学家,2
905,意志力,1
906,再活一次，和人生温柔相拥,1
907,生命之书,2
908,智能时代,3
909,通往财富自由之路,5
910,把时间当作朋友,7
911,书生傻气,1
912,书海泛舟记,4
